# RESUMO DAS ESTATÍSTICAS GERAIS DA ANÁLISE DIPLOMÁTICA MRE BRASIL-CHINA
# Total de Notas Analisadas;2040
# Total de Notas Selecionadas (Relevantes);45
# Total de Notas Descartadas (Superficiais/Irrelevantes);1995

ID;Título;Data;Status de Seleção;Temática Central;Justificativa do Descarte;Revisão Necessária;Detalhes da Revisão
38;Aberturas de mercado para o Brasil no Canadá e no Chile - Nota Conjunta MRE/MAPA;13/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
39;Visita do Ministro Mauro Vieira à Ásia Central;12/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
40;Medida da União Europeia contra exportações brasileiras de produtos de origem animal - Nota conjunta MRE/MAPA/MDIC;12/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
41;Abertura de mercado para o Brasil na União Econômica Euroasiática, no Peru e no Togo - Nota Conjunta MRE/MAPA;11/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
42;Isenção recíproca de vistos entre Brasil e China – Nota Conjunta MRE/MTur;11/05/2026;Selecionada;Cooperação Bilateral e Facilitação de Vistos / Mobilidade;N/A;Não;
43;Falecimento do ex-presidente de Botsuana, Festus Gontebanye Mogae;08/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
44;Abertura de mercado para o Brasil na Coreia do Sul - Nota Conjunta MRE/MAPA;08/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
45;Lançamento da candidatura brasileira ao Conselho de Direitos Humanos (2027-2029);07/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
46;Redução dos valores cobrados de passaportes emitidos no exterior;04/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
47;IX Rodada Negociadora MERCOSUL-Canadá - Nota Conjunta MRE/MDIC/MAPA;01/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
48;Nota Conjunta Brasil-Espanha sobre sequestro em águas internacionais;01/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
49;Declaração Conjunta sobre os Ataques Israelenses à Flotilha Global Sumud, 30 de abril de 2026;30/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
50;Abertura de mercado para o Brasil no Chile - Nota Conjunta MRE/MAPA;29/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
51;Promulgação do Acordo Provisório de Comércio entre o MERCOSUL e a União Europeia – Nota Conjunta MRE/MDIC/MAPA;28/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
52;Mortes de brasileiros no Líbano em decorrência de ataques israelenses;27/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
53;Ataques terroristas no Mali;27/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
54;Atentado na Colômbia;27/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
55;Apresentação da candidatura do Professor George Rodrigo Bandeira Galindo ao Tribunal Internacional do Direito do Mar;24/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
56;Aberturas de mercado para o Brasil em Cuba, nas Filipinas e na Coreia do Sul;24/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
57;Aberturas de mercado para o Brasil no Togo - Nota Conjunta MRE/MAPA;22/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
58;Atos adotados por ocasião da Visita de Estado do Presidente Luiz Inácio Lula da Silva a Hannover - Alemanha, 19 e 20 de abril de 2026;20/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
59;Declaração Conjunta Brasil-Alemanha sobre apoio ao Fundo Florestas Tropicais para Sempre (TFFF) - Hannover, 20 de abril de 2026;20/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
60;III Consultas Intergovernamentais de Alto Nível Brasil-Alemanha - Declaração Conjunta -  Hannover, 20 de abril de 2026;20/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
61;4ª Reunião de Alto Nível do Fórum Democracia Sempre - Declaração Conjunta - Barcelona, 18 de abril de 2025;19/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
62;Declaração Conjunta Sobre a Situação em Cuba;18/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
63;Visita Oficial do Senhor Presidente da República a Portugal;18/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
64;Cessar-fogo no Líbano;17/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
65;Abertura de mercado para o Brasil no Vietnã - Nota Conjunta MRE/MAPA;17/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
66;Atos adotados por ocasião da Visita de Estado do Presidente Luiz Inácio Lula da Silva à Espanha - Barcelona, 17 de abril de 2026;17/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
67;Declaração Conjunta por ocasião da I Cúpula Espanha-Brasil - Barcelona, 17 de abril de 2026;17/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
68;Ataques a Tiros em Escolas na Turquia;16/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
69;Visita oficial do senhor Presidente da República à Alemanha;16/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
70;Visita oficial do senhor Presidente da República à Espanha;15/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
71;Aberturas de mercado para o Brasil na Arábia Saudita, no Azerbaijão, em El Salvador, na Jordânia e na Etiópia - Nota Conjunta MRE/MAPA;15/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
72;Concessão de agrément ao Embaixador designado do Brasil no Japão;15/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
73;Chuvas em Angola;14/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
74;Aberturas de mercado para o Brasil no Vietnã, em Angola e em El Salvador - Nota Conjunta MRE/MAPA;14/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
75;Acidente em ponto turístico no Haiti;12/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
76;Estratégia de Cooperação do Rio de Janeiro;09/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
77;Convenção para a proteção do Meio Ambiente Marinho no Atlântico Sul;09/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
78;Declaração do Rio de Janeiro - 9 de abril de 2026;09/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
79;Continuidade dos ataques israelenses contra o Líbano;08/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
80;Cessar-fogo no Oriente Médio;08/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
81;Aberturas de mercado para o Brasil na Etiópia - Nota Conjunta MRE/MAPA;08/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
82;IX Reunião Ministerial da Zona de Paz e Cooperação do Atlântico Sul - ZOPACAS - Rio de Janeiro, 8 e 9 de abril de 2026;08/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
83;Abertura de mercado para o Brasil no Peru e nas Filipinas - Nota Conjunta MRE/MAPA;07/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
84;Bicentenário das Relações entre o Brasil e o Reino dos Países Baixos;02/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
85;Dia do Veterano e dos Caídos na Guerra das Malvinas;02/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
86;Ataques à Força Interina das Nações Unidas e contra jornalistas no Líbano;01/04/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
87;Candidatura do Forró Tradicional à Lista do Patrimônio Cultural Imaterial da UNESCO;31/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
88;Doação de escultura de Artur Lescher;31/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
89;Massacre na região haitiana de Artibonite;31/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
90;Aprovação no Conselho de Direitos Humanos da ONU de resolução sobre Direitos Humanos das pessoas em situação de rua — Nota Conjunta MRE/MDHC;31/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
91;Comunicado Conjunto da visita de trabalho do Ministro das Relações Exteriores do Brasil à República Democrática do Congo;31/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
92;Morte do ex-Presidente do Suriname, Chandrikapersad Santokhi;31/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
93;Encerramento da COP15 da Convenção sobre Espécies Migratórias - Nota Conjunta MRE/MMA;29/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
94;Impedimento de Acesso do Patriarca Latino de Jerusalém à Igreja do Santo Sepulcro, em Jerusalém Oriental, no Domingo de Ramos;29/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
95;Reunião de trabalho do Ministro Mauro Vieira com o Ministro das Relações Exteriores de Cameroun, Lejeune Mbella Mbella;28/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
96;Visita do Ministro Mauro Vieira à República Democrática do Congo e à Namíbia;27/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
97;14ª Conferência Ministerial da OMC (MC14);27/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
98;Aberturas de mercado em El Salvador, nas Filipinas e em Trinidad e Tobago - Nota Conjunta MRE/MAPA;27/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
99;Celebração dos 35 anos do MERCOSUL;26/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
100;Parceria Estratégica Brasil-Reino Unido 2026-2030;26/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
101;Comunicado conjunto sobre o Ano Cultural Brasil-China;26/03/2026;Selecionada;Cooperação Cultural Bilateral (Ano Cultural Brasil-China);N/A;Não;
102;Dia Internacional em Memória das Vítimas da Escravidão e do Tráfico Transatlântico de Escravizados - Nota Conjunta MRE/MDHC/MIR;25/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
103;Declaração de Bogotá - X Cúpula dos Chefes de Estado e de Governo da Comunidade dos Estados da América Latina e do Caribe (CELAC);24/03/2026;Descartada;N/A;Menção meramente acessória ao Foro CELAC-China no âmbito da Declaração de Bogotá da X Cúpula da CELAC, sem foco na diplomacia Brasil-China.;Não;
104;Comunicado Conjunto dos Copresidentes do  Primeiro Fórum de Alto Nível CELAC-África;24/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
105;Participação do Ministro Mauro Vieira na Reunião de Chanceleres do G7;24/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
106;Entrada em vigor do Acordo Provisório de Comércio MERCOSUL–União Europeia - Nota Conjunta MRE/MDIC/MAPA;24/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
107;Aberturas de mercado para o Brasil em Ruanda - Nota Conjunta MRE/MAPA;24/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
108;Acidente aéreo na Colômbia;23/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
109;Adoção da Declaração do Pantanal no Segmento de Alto Nível da COP15 da Convenção Sobre Espécies Migratórias — Nota Conjunta MRE/MMA;22/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
110;Participação do Presidente Luiz Inácio Lula da Silva na X Cúpula da CELAC e no I Fórum CELAC-África – Bogotá, 21/3;20/03/2026;Descartada;N/A;Citação secundária no contexto da participação do Brasil na X Cúpula da CELAC e Fórum CELAC-África.;Não;
111;Atos assinados em reunião entre o Ministro Mauro Vieira e Rosa Yolanda Villavicencio, Ministra das Relações Exteriores da Colômbia;20/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
112;Relatos de mortes na fronteira entre Colômbia e Equador;18/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
113;Aprovação do Acordo de Parceria MERCOSUL-União Europeia pelo Congresso Nacional - Nota Conjunta MRE/MDIC/MAPA;17/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
114;Aberturas de mercado para o Brasil na Turquia e em Singapura – Nota Conjunta MRE/Mapa;17/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
115;Declaração conjunta dos Presidentes da República Federativa do Brasil e do Estado Plurinacional da Bolívia, Brasília - 16/03/2026;16/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
116;Atos adotados por ocasião da visita do Presidente do Estado Plurinacional da Bolívia, Rodrigo Paz - Brasília, 16/03/2026;16/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
117;Visita do Presidente do Estado Plurinacional da Bolívia - Brasília e São Paulo, 16 e 17 de março de 2026;13/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
118;Hostilidades no Líbano;13/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
119;Declaração Conjunta de Brasil, Colômbia e México em favor de cessar-fogo no Oriente Médio e de apoio a uma saída diplomática na região;13/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
120;Adoção de resolução das Nações Unidas que institui o Dia Internacional do Café - Nota Conjunta MRE/Mapa;12/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
121;Visita do Ministro das Relações Exteriores ao Paraguai – Assunção, 13 de março de 2026;12/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
122;Endosso do Brasil à Declaração para Triplicar a Energia Nuclear até 2050 — Nota Conjunta MRE/MME;10/03/2026;Descartada;N/A;"Nota conjunta sobre transição e energia nuclear; menção genérica a fóruns multilaterais sem engrenagem bilateral Brasil-China.";Não;
123;Aberturas de mercado para o Brasil na Nova Zelândia e na Turquia – Nota Conjunta MRE/Mapa;10/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
124;Atos adotados por ocasião da visita do Presidente da África do Sul - Brasília, 9/3/2026;09/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
125;Comunicado Conjunto por ocasião da visita do Presidente da República da África do Sul, Cyril Ramaphosa, à República Federativa do Brasil - 9/3/26;09/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
126;Visita de Estado do Presidente da República da África do Sul, Cyril Ramaphosa – Brasília, 09/03/2026;06/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
127;Bicentenário das relações entre o Brasil e o Reino da Suécia;05/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
128;Atos adotados por ocasião da visita do Ministro dos Negócios Estrangeiros da Nova Zelândia - Brasília - 4/3/2026;04/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
129;Visita do Ministro de Negócios Estrangeiros da Nova Zelândia, Winston Peters – Brasília, 04 a 06 de março de 2026;04/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
130;Abertura de mercado para carnes bovina e de aves do Brasil nas Ilhas Salomão - Nota Conjunta MRE/MAPA;04/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
131;Hostilidades entre Israel e o Hezbollah;03/03/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
132;Escalada de hostilidades no Oriente Médio;28/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
133;Acidente aéreo na Bolívia;28/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
134;Ataques dos Estados Unidos e de Israel ao Irã;28/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
135;Hostilidades entre Afeganistão e Paquistão;27/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
136;39ª Conferência Regional da Organização das Nações Unidas para a Alimentação e a Agricultura (FAO) para a América Latina e o Caribe (LARC39);27/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
137;VIII Rodada Negociadora MERCOSUL-Canadá — Nota Conjunta MRE/MDIC/MAPA;27/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
138;Devolução de fósseis de origem brasileira pela Suíça;27/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
139;Aberturas de mercado para o Brasil no México e nas Filipinas – Nota Conjunta MRE/Mapa;26/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
140;Restituição de fósseis de origem brasileira localizados na Argentina e na Itália;25/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
141;Plano de Ação para Implementar a Parceria Estratégica Brasil - Coreia do Sul 2026-2029;23/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
142;Expansão da “Coalizão pela ação multilateral contra os crimes ambientais”;23/02/2026;Descartada;N/A;Citação genérica de alianças multilaterais ambientais sem centralidade no relacionamento Brasil-China.;Não;
143;Atos adotados por ocasião da visita de Estado do Presidente Luiz Inácio Lula da Silva à Coreia do Sul - Seul, 23 e 24 de fevereiro de 2026;23/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
144;Atos adotados por ocasião da Visita de Estado do Presidente Luiz Inácio Lula da Silva à Índia - Nova Delhi, 21 de fevereiro de 2026;21/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
145;Lançamento da Parceria Digital para o Futuro entre o Brasil e a Índia - Nova Delhi, 21 de fevereiro de 2026;21/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
146;Declaração Conjunta por ocasião da Visita de Estado do Presidente Luiz Inácio Lula da Silva à Índia - Nova Delhi, 21 de fevereiro de 2026;21/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
147;Início do processo de acessão do Brasil à Agência Internacional de Energia como membro pleno - Nota Conjunta MRE/MME;20/02/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
